Player,Nation,Position,Age,Matches Played,Minutes,Goals,Assists,Penalty Goals Made,Yellow Cards,Red Cards,Progressive Carries,Progressive Passes,Goals Per 90,Assists Per 90,xG Per 90,xAG Per 90,High_Performer
Juan Foyth,ARG,DF,26,19,313.0,1,0,0,4,0,13,65,0.06,0.0,0.14,0.02,1
Raúl Albiol,ESP,DF,38,15,313.0,0,0,0,5,0,3,34,0.0,0.0,0.01,0.0,0
Willy Kambwala,FRA,DF,19,19,313.0,0,0,0,1,1,2,16,0.0,0.0,0.03,0.01,0
Pau Navarro,ESP,DF,19,17,916.0,0,0,0,1,0,3,40,0.0,0.0,0.0,0.0,0
Eric Bailly,CIV,DF,30,12,617.0,0,0,0,2,1,1,18,0.0,0.0,0.05,0.0,0
Denis Suárez,ESP,MT,30,21,608.0,1,1,0,0,0,27,35,0.15,0.15,0.14,0.22,1
Ilias Akhomach,MAR,"MT,AT",20,11,584.0,1,0,0,1,0,30,12,0.15,0.0,0.09,0.15,1
Gerard Moreno,ESP,AT,32,17,721.0,3,2,3,0,0,19,53,0.37,0.25,0.53,0.45,1
Tajon Buchanan,CAN,MT,25,13,416.0,1,2,0,2,0,19,5,0.22,0.43,0.19,0.12,1
Arnaut Danjuma,NED,AT,27,3,200.0,2,0,0,1,0,4,1,0.9,0.0,0.37,0.01,1
Ramón Terrats,ESP,"MT,AT",23,11,131.0,0,0,0,1,0,1,7,0.0,0.0,0.04,0.19,0
Pau Cabanes,ESP,"MT,AT",19,10,163.0,1,0,0,0,0,10,11,0.55,0.0,0.26,0.22,1
Karl Etta,CMR,"MT,AT",20,4,37.0,1,0,0,0,0,0,0,2.43,0.0,0.88,0.0,1
Arnau Solà,ESP,MT,21,1,13.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Daniel Requena,ESP,MT,20,1,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Thiago Ojeda,ARG,MT,21,1,8.0,0,0,0,1,0,1,2,0.0,0.0,0.12,0.0,0
Diego Llorente,ESP,DF,30,30,313.0,2,0,0,4,0,7,81,0.07,0.0,0.05,0.01,1
Johnny Cardoso,USA,MT,22,28,313.0,3,1,0,4,0,19,71,0.13,0.04,0.09,0.04,1
Natan,BRA,DF,23,31,313.0,1,1,0,5,1,12,52,0.04,0.04,0.01,0.03,1
Marc Bartra,ESP,DF,33,25,313.0,2,1,0,2,0,7,68,0.09,0.04,0.05,0.01,1
Romain Perraud,FRA,DF,26,28,313.0,2,2,0,8,1,51,62,0.09,0.09,0.02,0.07,1
Sergi Altimira,ESP,MT,22,32,313.0,0,1,0,4,0,25,99,0.0,0.05,0.08,0.08,0
Pablo Fornals,ESP,"MT,AT",28,26,313.0,2,0,0,2,0,32,146,0.1,0.0,0.09,0.16,1
Youssouf Sabaly,SEN,DF,31,22,313.0,0,1,0,1,0,25,62,0.0,0.06,0.01,0.05,0
Adrián,ESP,GB,37,19,313.0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0
Isco,ESP,MT,32,22,313.0,9,8,5,5,0,38,152,0.52,0.47,0.5,0.25,1
Giovani Lo Celso,ARG,"MT,AT",28,25,313.0,8,3,2,4,0,26,132,0.49,0.19,0.29,0.3,1
Antony,BRA,AT,24,17,313.0,5,2,0,2,1,94,67,0.33,0.13,0.19,0.23,1
Rui Silva,POR,GB,30,15,313.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.01,0
Ricardo Rodríguez,SUI,DF,31,18,313.0,0,1,0,0,0,19,63,0.0,0.07,0.01,0.03,0
Jesus Rodríguez,ESP,AT,18,21,313.0,2,0,0,0,0,53,35,0.16,0.0,0.18,0.02,1
Vitor Roque,BRA,AT,19,22,313.0,4,0,0,4,0,24,17,0.29,0.0,0.44,0.09,1
Cucho,COL,AT,25,15,313.0,5,1,0,0,0,27,34,0.4,0.08,0.3,0.12,1
Marc Roca,ESP,MT,27,14,906.0,2,2,0,4,0,11,59,0.2,0.2,0.11,0.1,1
Cédric Bakambu,COD,AT,33,25,710.0,2,2,0,4,0,9,14,0.25,0.25,0.4,0.07,1
Ezequiel Ávila,ARG,AT,30,19,677.0,2,0,0,5,1,12,18,0.27,0.0,0.2,0.14,1
Héctor Bellerín,ESP,DF,29,9,580.0,0,2,0,1,0,3,24,0.0,0.31,0.03,0.32,0
William Carvalho,POR,MT,32,14,484.0,0,0,0,1,0,5,45,0.0,0.0,0.04,0.05,0
Fran Vieites,ESP,GB,25,4,360.0,0,0,0,0,0,0,0,0.0,0.0,0.01,0.0,0
Ángel Ortíz,ESP,DF,20,5,353.0,0,1,0,0,0,4,15,0.0,0.25,0.01,0.03,0
Iker Losada,ESP,"MT,AT",22,10,336.0,0,0,0,0,0,9,14,0.0,0.0,0.13,0.08,0
Assane Diao,SEN,AT,18,10,277.0,1,2,0,0,0,9,1,0.32,0.65,0.26,0.5,1
Nabil Fekir,FRA,MT,31,2,180.0,0,1,0,0,0,9,10,0.0,0.5,0.34,0.28,0
Carlos Guirao,ESP,MT,21,2,110.0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0
Mateo Flores,ESP,MT,20,6,153.0,0,0,0,1,0,0,9,0.0,0.0,0.0,0.0,0
Rodri,ESP,AT,24,3,118.0,0,0,0,0,0,4,8,0.0,0.0,0.13,0.06,0
Nobel Mendy,FRA,DF,19,2,108.0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0
Sergio Arribas,ESP,DF,21,1,90.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Vicente Guaita,ESP,GB,37,34,313.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Óscar Mingueza,ESP,"MT,DF",25,34,313.0,4,6,0,6,1,69,200,0.13,0.2,0.05,0.19,1
Marcos Alonso,ESP,DF,33,31,313.0,3,0,3,10,2,64,215,0.1,0.0,0.14,0.04,1
